id;cluster_id;title;description;brand;Part Number;Sub-Category;Category;Generation;Capacity;Spindle Speed;Manufacturer;price
5658732;145778;  HP Xeon X7542 DL580 G7 ; Description:HP Intelï¿½ Xeonï¿½ X7542 DL580 G7(2.66GHz/6-core/18MB/130W)Full Processor Option KitPart Number(s) Manufacturer Part# 588156-B21;HP Enterprise;588156-B21;Intel Xeon;Proliant Processor;G7;;;;CAD, $254.74 CAD
12188061;9909665; HP 340851-001 12/24-GB DAT DDS3 AutoLdr,  AutoLdr Wholesale HP Price 340851-001;Description:12/24GB DAT DDS3 AutoLdr TBU Ext SCSIPart Number(s) Option Part# 340851-001   ;HP Enterprise;340851-001;TapeDrive;Proliant;12/24GB;;;;
12151973;117171; 512544-001 HP 72-GB 6G 15K 2.5 DP  HDD,  New 512544-001 HDD Wholesale Price 512544-001;Description:72GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 15K Hard Disk DriveFor G1-G7 Proliant SAS ServersGenuine HPE Serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 512545-B21 Spare Part# 512743-001 Assembly Part# 512544-001 Model# DH0072FAQRD ;HP Enterprise;512544-001;15K;Proliant HardDrive;SAS;72GB;15000RPM;;
110869;4693022;  HP Smart Array 6402 128MB ; Description:Interface (Product) : Smart Array 6402/128 Ultra320 SCSI controller 64-bit 133MHz PCI-X interface RAID XOR engine two internal or four external channels and 128MB of battery-backed write cachePart Number(s) Spare Part# 309520-001;HP Enterprise;309520-001;SCSI PCI-X;Proliant Controller;U320;;;;CAD, $130.08 CAD
14860009;703183; ST936701SS Seagate 36-GB 10K 2.5  HDD  ; Description:Seagate 36GB 2.5-inch (SFF) Serial Attached SCSI (SAS) 3G Hot-Plug 10K Drive Part Number(s) Manufacturer Part# ST936701SS;Seagate;ST936701SS;10K;Seagate HardDrive;SAS SFF;36GB;10000RPM;Seagate;CAD, $113.56 CAD
12973565;14230241;  HP Xeon 2.8GHz BL20p G2 ; Description:HP Intel Xeon BL20p G2 (2.8GHz/Single-core/512KB/74W)Full Processor Option KitPart Number(s)Part# 300873-B21;HP Enterprise;300873-B21;Xeon;Proliant Processor;G2;;;;USD, $95.95
10521591;3602575; 313715-001 HP 9.1GB Ultra SCSI-3 7.2K HDD,  New 313715-001 HDD Wholesale Price 313715-001;Description:9GB Ultra SCSI-3 Hot-Plug 7200 rpm 1 Drive   Option Part# 313715-001    ;HP Enterprise;313715-001;7.2K;Proliant HardDrive;Ultra SCSI-3;9.1GB;;HP/Compaq;
8287794;1706220; 390402-B21 HP Low Profile U320 Controller,   390402-B21 New 390402-B21 Controller Wholesale;Description:HP Low Profile U320 DL140 G2/DL145 G2 Controller  FIOPart Number(s)Manufacturer Part# 390402-B21 ;HP Enterprise;390402-B21;Smart Array;Proliant Controller;DL140 G2;;;HP;
14128692;10257780; HP 229290-001 35/70-GB AIT Int HPLUG  ; Description: 35/70GB AIT Int Hot-Plug 8mm LVDPart Number(s) Option Part# 229290-001 ;HP Enterprise;229290-001;Tape Drive;Proliant;35/70GB;;;;CAD, $740.81 CAD
13740156;6283862; G8763 Dell 73-GB 10K 3.5 3G SP SAS w/F9541,  Price G8763-5Pack New G8763 w/F9541 5 Pack Wholesale;Description:5 x 73GB 10K SAS 3.5-inch 3G HD Single Port (SP) Hot-Plug Dell Hard Drive in Dell F9541 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s) Manufacturer Part# G8763 ;Dell;G8763-5Pack;10K;Dell HardDrive;SAS;73GB;10000RPM;Dell;
15346171;14228007; 435954-B21 HP Xeon E5345 2.33GHz DL360 G5,  New 435954-B21 G5 Wholesale Price 435954-B21;Description:Intel Xeon E5345 DL360 G5(2.33GHz/4-core/8MB-2x4MB/80W)Full Processor Option KitPart Number(s)Proliant Option Part# 435954-B21 ;HP Enterprise;435954-B21;Xeon;Proliant Processor;G5;;;;
3921974;4976697;  BL20P G2 (2P) Xeon 3.06GHz,  Price  3.06GHz Wholesale ;Description:  BL20PG2 (2P) Xeon 3.06GHz 1M 1GB Ram Blade   Manufacturer Part# 339597-B22  ;HP Enterprise;339597-B22;BL20;Proliant Server;G2;;;;
10543848;288216; 431786-B21 HP 120-GB 5.4K 2.5 SATA,  New 431786-B21 SATA 2 Pack Wholesale Price ;Description:2 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 431786-B21 Spare Part# 431908-001 Assembly Part# 443193-002 Model# FJ120C4981 ;HP Enterprise;431786-B21-2Pack;5.4K;Proliant HardDrive;SATA;120GB;5400RPM;;
908043;54274;  HP Xeon E5450 3.00GHz BL260c G5,  New  G5 Wholesale Price ;Description:HP Intelï¿½ Xeonï¿½ E5450 BL260c G5(3.00GHz/4-core/12MB/80W)Full Processor Option KitPart Number(s)Manufacturer Part# 464885-B21 ;HP Enterprise;464885-B21;Intel Xeon;Proliant Processor;G5;;;;
13828148;499388; ST2000NX0273 Seagate 2-TB 7.2K 2.5 DP 12G SAS ; Description:2 x Seagate Enterprise 2TB 7.2K 12G 2.5-inch SAS Dual Port Hot-Plug 128MB Hard DrivePart Number(s) Part# ST2000NX0273;Seagate;ST2000NX0273-2Pack;7.2K;Seagate HardDrive;SAS SFF;2TB;7200 RPM;Seagate;CAD, $951.13 CAD
1021956;2986464; HP 154871-001 40/80-GB DLT8000 Int SCSI ; Description: Compaq 40/80GB Internal DLT Option Part# 146196-B21 or 146196-B24 Spare 154871-001 154871-002 Model # TH8AG-CJ CL CM TH8AG-HJ HK HL HM HT HX;HP Enterprise;154871-001;TapeDrive;Proliant;40/80GB;;;;$229.15, USD
5814975;305939; 599476-003 HP 600-GB 6G 10K 2.5 DP SAS HDD,  Price 599476-003 New 599476-003 HDD Wholesale;Description:600GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 581286-B21 Spare Part# 581311-001 Assembly Part# 597609-003 Assembly Part# 599476-003 Assembly Part# 619286-003 Model# EG0600FBDBU Model# EG0600FBDSR Model# EG0600FBLSH ;HP Enterprise;599476-003;10K;Proliant HardDrive;SAS;600GB;10000RPM;;
15833177;18889; 589700-B21 HP Xeon L5640 2.26GHz DL160 ,  New 589700-B21  Wholesale Price 589700-B21;Description:HP Intelï¿½ Xeonï¿½ L5640 DL160 G6 (2.26GHz/6-core/12MB/60W)Full Processor Option KitPart Number(s)Manufacturer Part# 589700-B21 ;HP Enterprise;589700-B21;Intel Xeon;Proliant Processor;G6;;;;
17139502;354811;  HP 300-GB 3G 15K 3.5 SP SAS HDD ; Description:300GB Serial Attached SCSI (SAS) 3G 15K 3.5-inch Single Port (SP) Hot-Plug Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 431944-B21 431944-S21 Spare 432146-001 Assembly 443169-003 431943-004 Model# DF300A4950 DF300ABAAA;HP Enterprise;431943-004;15K;Proliant HardDrive;SAS;300GB;15000RPM;Hewlett Packard;USD, $95.95
4184391;10545140; 633785-B21 HP Xeon E5649 2.53GHz DL360 G7,  New 633785-B21 G7 Wholesale Price 633785-B21;Description:HP Intel Xeon E5649 DL360 G7(2.53GHz/6-core/12MB/80W)Full Processor Option KitPart Number(s) Manufacturer Part# 633785-B21 ;HP Enterprise;633785-B21;Intel Xeon;Proliant Processor;G7;;;;
4310823;370476; 693647-001 HP G8 G9 1.2-TB 6G 10K 2.5 SAS SC,  Price 693647-001 New 693647-001 SC Wholesale;Description:HP 1.2TB 2.5-inch (SFF) Serial Attached SCSI (SAS)6G 10K Enterprise Hot-Plug Hard Drive in G8 G9(Gen8 Gen9) SmartDrive Carrier (SC) (as pictured)Genuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 697574-B21 Spare Part# 697631-001 Assembly Part# 693647-001 Assembly Part# 697578-003 Assembly Part# 726480-001 SmartBuy Part# 697574-S21 Model# EG1200FCVBQ Model# EG1200FDNJT ;HP Enterprise;693647-001;10K;Proliant HardDrive;SAS SC;1.2TB;10000RPM;;
719897;11881555; 589721-B21 HP Xeon X5650 2.66GHz DL160 G6,  New 589721-B21 G6 Wholesale Price 589721-B21;Description:HP Intelï¿½ Xeonï¿½ X5650 DL160 G6 (2.66GHz/6-core/12MB/95W)Full Processor Option KitPart Number(s)Manufacturer Part# 589721-B21 ;HP Enterprise;589721-B21;Intel Xeon;Proliant Processor;G6;;;;
3131192;261841; DG0072BALVL HP 72-GB 3G  2.5 DP SAS ; Description:5 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF Dual Port Hot-Plug 10K Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 384842-B21 Spare 389346-001 Assembly 504015-001 Model# DG0072BALVL;HP Enterprise;DG0072BALVL-5Pack;10K;Proliant HardDrive;SAS;72GB;10000RPM;Hewlett Packard;CAD, $425.79 CAD
11803779;160496;  HP G8 G9 300-GB 6G 10K 2.5 SAS SC,  Price  New  SC Wholesale;Description:HP 300GB 2.5-inch (SFF) Serial Attached SCSI (SAS)6G 10K Hot-Plug Hard Drive in G8 G9 (Gen8 Gen9)SmartDrive Carrier (SC) (as pictured)Genuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 652564-B21 Spare Part# 653955-001 Assembly Part# 597609-001 Assembly Part# 599476-001 Assembly Part# 619286-001 Assembly Part# 641552-001 Assembly Part# 666355-001 Assembly Part# 693569-001 Model# EG0300FCHHR Model# EG0300FBDBR Model# EG0300FBDSP Model# EG0300FBLSE Model# EG0300FBVFL ;HP Enterprise;653955-001;10K;Proliant HardDrive;SAS SC;300GB;10000RPM;;
4421243;186639; ST936751SS Seagate 36-GB 15K 2.5 3G SP SAS HDD  ; Description:Seagate 36GB 2.5-inch (SFF) Serial Attached SCSI (SAS) 3G Single Port Hot-Plug 15K 16MB Hard DrivePart Number(s) Manufacturer Part# ST936751SS Dell RN829;Seagate;ST936751SS;15K;Seagate HardDrive;SAS SFF;36GB;15000RPM;Seagate;CAD, $124.74 CAD
3617321;161431; ST33000650SS HP 3-TB 6G 7.2K 3.5 MDL SAS HDD ; Description:3TB Serial Attached SCSI (SAS)6G 7.2K 3.5-inch Hot-Plug Midline DriveFor G1-G7 Proliant SAS ServersGenuine HPE number and firmwareGenuine Certified Hard DrivePart Number(s) Option Part# 625031-B21 SmartBuy 625031-S21 Spare 625140-001 Assembly 625030-001 Model# ST33000650SS MB3000FBNWV;HP Enterprise;ST33000650SS;7.2K;Proliant HardDrive;SAS;3TB;7200RPM;Hewlett Packard;$145.95, USD
946919;15132474; 232432-B22 HP 72-GB Ultra3 10K Hard Drive,  Drive Wholesale 232432-B22 Price 232432-B22;Description:HP 72.8GB Wide Ultra3 SCSI 10K Drive (1 inch)Wide Ultra3 SCSI Hot-PlugPart Number(s)  Spare Part# 233349-001 Option Part# 232432-B22    Assembly Part# 233806-004 ;HP Enterprise;232432-B22;10K;Proliant HardDrive;Ultra3;72 GB;10000 RPM;;
17199897;50295;  518022-002 HP 146-GB 6G 15K  DP SAS; Description:5 x 146GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 15K Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 512547-B21 Spare 512744-001 Assembly 518022-002 Model# EH0146FARUB;HP Enterprise;518022-002-5Pack;15K;Proliant HardDrive;SAS;146GB;15000RPM;;$429.95, USD
3427219;823003; 348114-001 HP 1300W RPS for DL580 G3 ; Description:2 x HPE Proliant 1300 Watt Hot-Plug Redundant Power SupplyFor DL580 G3 ServerPart Number(s)Option Part# 348114-001;HP Enterprise;348114-001-2Pack;Proliant Power Supply;Proliant;DL580 G3;;;;$296.70, USD
13673568;2998554; HP 154872-003 40/80-GB  Ext Crbn ; Description:40/80GB DLT8000 Ext Crbn LVD SCSIPart Number(s) Option Part# 154872-003;HP Enterprise;154872-003;Tape Drive;Proliant;40/80GB;;;;$456.35, USD
13443452;298824; 587498-B21 HP Xeon  3.33GHz DL380 G7,  New 587498-B21 G7 Wholesale Price 587498-B21;Description:HP Intelï¿½ Xeonï¿½ X5680 DL380 G7(3.33GHz/6-core/130W/12MB)Full Processor Option KitPart Number(s) Manufacturer Part# 587498-B21 ;HP Enterprise;587498-B21;Intel Xeon;Proliant Processor;G7;;;;
3181840;236262; 507824-B21 HP Xeon E5520 2.26GHz  G6  ; Description:HP Intelï¿½ Xeonï¿½ E5520 BL280c G6 (2.26GHz/4-core/8MB/80W)Full Processor Option KitPart Number(s)Manufacturer Part# 507824-B21;HP Enterprise;507824-B21;Intel Xeon;Proliant Processor;G6;;;;CAD, $254.74 CAD
1710311;1816268;  HP Fiber Channel Host Controller,  New  Controller Wholesale Price 223180-B21;Description:HP 32-bit Fiber Channel Host ControllerPart Number(s) Hewlett-Packard Part# 223180-B21 ;HP Enterprise;223180-B21;Fibre Channel Host;HP;32-bit;;;;
12597320;444726; HUC101414CSS300 Hitachi  10K 2.5 SAS ; Description:5 x Hitachi 146GB 2.5-inch 3G SFF Serial Attached SCSI (SAS) Hot-Plug 10K Hard DrivePart Number(s) Manufacturer Part# HUC101414CSS300;Hitachi;HUC101414CSS300-5PK;10K;Hitachi HardDrive;SAS;146GB;;Hitachi;USD, $968.75
1208014;4938338; 346990-B21 HP Xeon 3.0GHz DL560 G1 ; Description:HP Intel Xeon MP DL560 G1(3.0GHz/Single-core/4MB/85W)Full Processor Option KitPart Number(s)Part# 290560-001;HP Enterprise;346990-B21;Xeon;Proliant Processor;G1;;;;USD, $95.95
5618196;4512619; 311144-001 DL380R  3.6GHz 1MB 1GB ; Description: Proliant DL380 G4 3.06GHz 1MB Cache 1GB Ram Server Manufacturer Part# 311144-001;HP Enterprise;311144-001;DL380R;Proliant Server;G4;;;;CAD, $1,219.60 CAD
12196972;767606; 313299-001 HP 400W RPS DL380 G2/G3 ; Description:2 x Compaq Proliant 400W Hot-Plug Power SupplyFor the DL380 G2/G3 ServersPart Number(s) Option Part# 225011-001 Spare 228509-001 313054-001 313054-B21 313299-001 Assembly 194989-001 194989-002;HP Enterprise;313299-001-2Pack;Proliant Power Supply;Proliant;DL380 G2/G3;;;Compaq;$141.35, USD
1574328;1593747; ST3750630AS Seagate  7.2K 3.5 3G SATA,  Price ST3750630AS New ST3750630AS SATA Wholesale;Description:Seagate Barracuda 750GB Hot-Plug Serial ATA (SATA) 3.0Gb/s 7200RPM 3.5-inch form factor 16MB Hard DrivePart Number(s) Manufacturer Part# ST3750630AS Alternate Part# ST3750640NS ;Seagate;ST3750630AS;7.2K;Seagate HardDrive;SATA;750GB;7200RPM;Seagate;
3751870;41121; 431935-S21 HP 72-GB 3G 15K 2.5 SP SAS,  Price 431935-S21-10Pack  New 431935-S21 SAS 10 Pack Wholesale;Description:10 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF3G Single Port Hot-Plug 15K Hard Disk DriveFor G1-G7 Proliant SAS ServersGenuine HPE Serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 431935-B21 Spare Part# 432321-001 Assembly Part# 431930-002 Model# DH072ABAA6 ;HP Enterprise;431935-S21-10Pack;15K;Proliant HardDrive;SAS;72GB;15000RPM;;
15230533;120734; 443193-002 HP 120-GB 5.4K 2.5 SATA ; Description:10 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In tray (as pictured)For G1-G7 Proliant ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 431786-B21 Spare 431908-001 Assembly 443193-002 Model# FJ120C4981;HP Enterprise;443193-002-10Pack;5.4K;Proliant HardDrive;SATA;120GB;5400RPM;;CAD, $1,087.52 CAD
7134591;2399759; 341-2828 Dell 300-GB 10K 3.5 3G SP SAS w/F9541,  New 341-2828 w/F9541 10 Pack Wholesale Price 341-2828-10Pack;Description:10 x 300GB 10K SAS 3.5-inch 3Gb/s HD Single Port (SP) Hot-Plug Dell Hard Drive in Dell F9541 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s)Manufacturer Part# 341-2828 ;Dell;341-2828-10Pack;10K;Dell HardDrive;SAS;300GB;10000RPM;Dell;
6642078;10432080; 290563-B21 HP NC7771 PCI-X  Server ; Description:NC7771 PCI-X Gigabit Server AdapterPart Number(s)Option Part# 290563-B21 ;HP Enterprise;290563-B21;Proliant Network Adapter;Proliant Option;10/100/1000-T;;;;USD, $85.95
12481290;2197592; HP 190716-001 AIT2 50/100-GB 8mm LVD SE,  SE Wholesale HP Price 190716-001;Description:190716-001 AIT2 50/100GB 8mm LVD/SE W/HSPart Number(s) Option Part# 190716-001   ;HP Enterprise;190716-001;TapeDrive;Proliant;100/50GB;;;;
1104771;956643; 293556-B21  146.8-GB 10K FC-AL HDD ; Description:StorageWorks 146.8GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 293556-B21 Spare 300590-001 Assembly 293555-003 Model# BD14655B2A 2-5-2 FE-23518-01;HP Enterprise;293556-B21;10K;Storageworks HDD;Fibre Channel;146.8GB;;HP/Compaq;USD, $95.95
1905811;14924742; 539842-001 DL585 G6 Opteron 8439 SE 2.8GHz,  2.8GHz Wholesale 539842-001 Price 539842-001;Description:DL585 G6  Rack-Mountable - 4U - 4-way - 4 x Opteron 8439 SE / 2.8GHz - RAM 16GB - SAS - Hot-Swap 2.5-inch - no HDD - CD-RW / DVD - ATI RN50 - Gigabit EthernetPart Number(s)Manufacturer Part# 539842-001 ;HP Enterprise;539842-001;DL585 G6;Proliant Server;Opteron;;;;
6277606;959397; 504015-001 HP 72-GB 3G 10K 2.5 DP SAS HDD,  Price 504015-001  504015-001 HDD Wholesale;Description:72GB 2.5-inch Serial Attached SCSI (SAS) SFF Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 384842-B21 Spare Part# 389346-001 Assembly Part# 504015-001 Model# DG0072BALVL ;HP Enterprise;504015-001;10K;Proliant HardDrive;SAS;72GB;10000RPM;Hewlett Packard;
16208675;1170298; 173828-001 HP ProLiant DL360 G1 PS,  Price 173828-001 New 173828-001 PS Wholesale;Description:Proliant DL360 190W Hot-Plug Power SupplyPart Number(s)Option Part# 173828-001 ;HP Enterprise;173828-001;Proliant Power Supply;Proliant;DL 360 G1;;;Compaq;
5152652;116308; BF14686842 HP 146-GB U320 SCSI 15K ; Description:10 x 146GB Ultra320 3.5-inch SCSI Hot-Plug 15K Hard DriveIn HPE Drive tray (as pictured)Genuine serial number and firmwarePart Number(s) Option Part# 347708-B22 Spare 347779-001 Assembly 443188-002 Model# BF14686842;HP Enterprise;BF14686842-10Pack;15K;Proliant HardDrive;Ultra320;146GB;;HP/Compaq;CAD, $1,888.08 CAD
9935734;69296; 399542-001 HP  DL360 G5 PS,  Price 399542-001-2Pack New 399542-001 PS 2 Pack Wholesale;Description:2 x HPE Compaq Proliant 700W Hot-Plug Power SupplyFor Proliant DL360 G5 ServerPart Number(s)Option Part# 399542-001Spare Part# 412211-001 ;HP Enterprise;399542-001-2Pack;Proliant Power Supply;Proliant;DL360 G5;;;Compaq;
11762115;1358675; 366725-B21 HP  Opteron 2.4GHz 850 DL585 G1,  G1 Wholesale 366725-B21 Price 366725-B21;Description:1 x AMD Opteron 850 DL585 G1(2.4GHz/Single-core/1MB/85.3W)Full Processor Option Kit***Comes standard with the 011974-503 Processor/Memory Board***Part Number(s)Option Part# 366725-B21 ;HP Enterprise;366725-B21;Opteron;Proliant Processor;G1;;;;
9523710;709236; , 176496-B22 HP  Ultra3 10K Drive Price 176496-B22 Drive Wholesale 176496-B22;Description:36.4GB Ultra3 SCSI Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)Genuine HPE serial number and firmwarePart Number(s)    Option Part# 176496-B22    Spare Part# 177986-001  ;HP Enterprise;176496-B22;10K;Proliant HardDrive;Ultra3;36.4GB;;HP/Compaq;
6618003;15128; ST1000NM0033 Seagate 1-TB 7.2K 3.5 6G SP SATA,  Price ST1000NM0033-5Pack New ST1000NM0033 SATA 5 Pack Wholesale;Description:5 x Seagate Constellation ES.3 1-TB Hot-Plug Serial ATA (SATA) 6.0Gb/s 7200RPM 3.5-inch form factor Single Port 128MB Hard DrivePart Number(s) Seagate Model# ST1000NM0033 ;Seagate;ST1000NM0033-5Pack;7.2K;Seagate HardDrive;SATA;1TB;7200RPM;Seagate;
2571920;971248; MBB2147RC  146-GB 3G 10K 2.5 SAS HDD ; Description:Fujitsu 146GB Serial Attached SCSI (SAS) 2.5-inch (SFF) Single Port 3G 10K Hot-Plug Hard DrivePart Number(s)Fujitsu Part# MBB2147RC;Fujitsu;MBB2147RC;10K;Fujitsu HardDrive;SAS;146GB;10000RPM;Fujitsu;$104.95, USD
10847903;11687580; 242521-B21 HP 35/70GB EXT DLT Tape Drive,  Drive Wholesale 242521-B21 Price 242521-B21;Description:Compaq External 35/70GB DLT Tape DrivePart Number(s) Option Part# 242521-B21 ;HP Enterprise;242521-B21;TapeDrive;Proliant;35/70GB;;;;
16210563;5698588; MAN3735FC Fujitsu 73-GB 10K FC ,  New MAN3735FC  Wholesale Price MAN3735FC;Description:RoHS Compliant 73GB 10K Fibre Channel40 pin 2GB/s  FCAL-2 Hard Disk Drive Part Number(s) Manufacturer Part# MAN3735FC ;Fujitsu;MAN3735FC;10K;Fujitsu Hard Drive;Fibre Channel;73GB;;Fujitsu;
5410438;2224466; 323146-B21 BL20P G2 (1P) Xeon 3.06GHz,  Price 323146-B21 3.06GHz Wholesale 323146-B21;Description: Proliant BL20P G2 1p 3.06GHz 512MB FC   Manufacturer Part# 323146-B21  ;HP Enterprise;323146-B21;BL20;Proliant Server;G2;;;;
16435070;28174; EG0600FBDSR HP 600-GB 6G 10K 2.5 DP SAS,  New EG0600FBDSR SAS 2 Pack Wholesale Price EG0600FBDSR-2Pack;Description:2 x 600GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 581286-B21 Spare Part# 581311-001 Assembly Part# 597609-003 Assembly Part# 599476-003 Assembly Part# 619286-003 Model# EG0600FBDBU Model# EG0600FBDSR Model# EG0600FBLSH ;HP Enterprise;EG0600FBDSR-2Pack;10K;Proliant HardDrive;SAS;600GB;10000RPM;;
12496017;661308;  160-GB 7.2K 2.5 8MB SATA HDD  ; Description:160GB Non-Hot-Plug Serial ATA (SATA) 7200 RPM 2.5-inch Form Factor Notebook DrivePart Number(s) Manufacturer Part# MHW2160BJ;Fujitsu;MHW2160BJ;7.2K;Fujitsu HardDrive;SATA NB;160GB;7200RPM;;CAD, $138.91 CAD
4207168;12005714; 507515-002 HP 1-TB 3G 7.2K 3.5 SATA,  Price 507515-002-10Pack New 507515-002 SATA 10 Pack Wholesale;Description:10 x 1TB Hot-Plug Serial ATA (SATA) Drive 3G 7.2K 3.5-inch LFF Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 454146-B21 Spare Part# 454273-001 Spare Part# 583311-001 Alternate Spare Part# 536648-001 Assembly Part# 482483-004 Assembly Part# 507515-002 Assembly Part# 507631-002 Assembly Part# 649401-002 Assembly Part# 684057-001 Model# GB1000EAFJL Model# GB1000EAMYC Model# MB1000EAMZE Model# MB1000EBNCF Model# MB1000EBZQB Model# HUA722010CLA330 ;HP Enterprise;507515-002-10Pack;7.2K;Proliant HardDrive;SATA;1TB;7200RPM;;
13067644;263334;  432151-001 HP 72-GB 15K 3.5 SP NHP SAS HDD; Description:72GB Serial Attached SCSI (SAS) 3.5-inch Non-Hot-Plug 15K SP Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 432095-B21 Spare 432151-001 Assembly 443169-001 Model# DF072A4940;HP Enterprise;432151-001;15K;Proliant Hard Drive;SAS NHP;72GB;15000RPM;Hewlett Packard;CAD, $111.74 CAD
16929228;143432; 432932-001 HP 420W DL320 G5 Power Supply ; Description:2 x HPE DL320 G5 420W Non-Hot Plug Power SupplyPart Number(s)Spare Part# 432932-001Spare 432171-001;HP Enterprise;432932-001-2Pack;Proliant Power Supply;Proliant;DL320 G5;;;Compaq;$541.90, USD
436721;7608676; HP 199527-003 4mm Ext SCSI AutoLdr,  Price 199527-003 AutoLdr Wholesale HP;Description:4mm Ext SCSI AutoLdrPart Number(s) Option Part# 199527-003   ;HP Enterprise;199527-003;Tape Drive;Proliant;10/20GB;;;;
4803794;9065318; ST336704LC Seagate 36GB 10K Ultra3 SCSI ,  New ST336704LC  Wholesale Price ST336704LC;Description:Seagate 36GB 10K 80-Pin Ultra3 SCSI Hard DrivePart Number(s) Seagate Part# ST336704LC ;Seagate;ST336704LC;Hard Drive;Seagate;Ultra3;;;;
14382549;92956; 694374-B21 HP 4-TB 3G 7.2K 3.5 SATA HDD ; Description:4TB Hot-Plug Serial ATA (SATA) 3G 7.2K 3.5-inch form factor LFF MDL Hard Drive NCQ (Native Command Queing)In HPE tray (as pictured)For G1-G7 Proliant SATA ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 694374-B21 Spare 694534-001 Assembly 695503-004 Model# MB4000GCWDC;HP Enterprise;694374-B21;7.2K;Proliant HardDrive;SATA;4TB;7200RPM;;CAD,  $514.74 CAD
4770978;739231; ST31000528AS Seagate 1-TB 7.2K 3.5  HDD ; Description:Seagate Barracuda 7200.12 1TB Hot-Plug Serial ATA (SATA) NCQ 3.0GB/s Hard Drive 7200RPM 3.5-inch form factor 32MB DrivePart Number(s) Manufacturer Part# ST31000528AS;Seagate;ST31000528AS;7.2K;Seagate HardDrive;SATA;1TB;7200RPM;Seagate;CAD, $162.70 CAD
12314436;1237991; 321632-001 HP DL380 G4  ; Description:2 x Compaq Proliant 575W DL380 G4Hot-Plug Redundant Power SuppliesFor the G4 ServerPart Number(s) Option Part# 355892-B21 Spare 321632-001 Assembly 355892-001;HP Enterprise;321632-001-2Pack;Proliant Power Supply;Proliant;DL380 G4;;;Compaq;CAD, $228.15 CAD
